FIPS,State_x,County,Unreliable,Deaths,YPLL Rate,95% CI - Low_x,95% CI - High_x,Z-Score,Sample Size_x,% Fair/Poor,95% CI - Low.1_x,95% CI - High.1_x,Z-Score.1,Sample Size.1,Physically Unhealthy Days,95% CI - Low.2_x,95% CI - High.2_x,Z-Score.2,Sample Size.2,Mentally Unhealthy Days,95% CI - Low.3_x,95% CI - High.3_x,Z-Score.3,Unreliable.1,LBW Births,Sample Size.3,% LBW,95% CI - Low.4_x,95% CI - High.4_x,Z-Score.4,Sample Size.4,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Obese,95% CI - Low.6,95% CI - High.6,Z-Score.6,Physical Inactivity,95% CI - Low.7,95% CI - High.7,Z-Score.7,Sample Size.5,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.8,Unreliable.2,Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low.9,95% CI - High.9,Z-Score.9,Cases,"Rates per 100,000",Z-Score.10,Teen Births,Teen Population,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.11,# Uninsured_x,% Uninsured_x,95% CI - Low.11,95% CI - High.11,Z-Score.12,# PCP,PCP Rate,PCP Ratio,# PCP.1,PCP Rate.1,PCP Ratio.1,Z-Score.13,# Medicare enrollees,ACSC Rate,95% CI - Low.12,95% CI - High.12,Z-Score.14,# Diabetics,% HbA1c,95% CI - Low.13,95% CI - High.13,Z-Score.15,# Medicare Enrollees,Mammography Rate,95% CI - Low.14,95% CI - High.14,Z-Score.16,AFGR,Z-Score.17,PSED Num,Population_x,PSED,95% CI - Low.15,95% CI - High.15,Z-Score.18,# Unemployed,Labor Force,% Unemployed,Z-Score.19,# Children in Poverty,% Children in Poverty,95% CI - Low.16,95% CI - High.16,Z-Score.20,Sample Size.6,% No Social-Emotional Support,95% CI - Low.17,95% CI - High.17,Z-Score.21,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low.18,95% CI - High.18,Z-Score.22,Violent Crimes,Violent Crime Rate,Z-Score.23,PM Days,Z-Score.24,Ozone Days,Z-Score.25,Rec Facs,Rec Fac Rate,Z-Score.26,# Limited Access,% Limited Access,Z-Score.27,Zip Codes with Healthy Foods_x,# Zip Codes_x,% Healthy Foods_x,Z-Score.28,# Fast Foods,% Fast Foods,Z-Score.29,State_y,Population_y,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Population.1,# not proficient in English,% not proficient in English,Female,Rural,% diabetic,95% CI - Low_y,95% CI - High_y,Population.2,HIV Rate,# MPH,MPH Rate,MPH Ratio,Costs,# Uninsured_y,% Uninsured_y,95% CI - Low.1_y,95% CI - High.1_y,Sample Size_y,% Couldn't Access,# Dentists,Dentist Rate,Dentist Ratio,Household Income,95% CI - Low.2_y,95% CI - High.2_y,# high housing costs,Households,% high housing costs,% Free lunch,% illiterate,95% CI - Low.3_y,95% CI - High.3_y,Homicide Rate,95% CI - Low.4_y,95% CI - High.4_y,# Drive Alone,Workers,% Drive Alone,Zip Codes with Healthy Foods_y,# Zip Codes_y,% Healthy Foods_y
6000.0,California,,,306593.0,5922.23,5895.378,5949.082,,68766.0,18.5,18.0,18.9,,68389.0,3.7,3.6,3.7,,68363.0,3.6,3.5,3.7,,,258432.0,3843469.0,6.7,6.7,6.7,,66928.0,14.0,13.6,14.5,,23.538620201,,,,18.462838911,,,,65438.0,17.0,16.5,17.4,,,29946.0,11.864789327,11.730405596,11.999173057,,146796.0,399.4,,357293.0,9018125.0,39.6,39.5,39.7,,6491176.0,20.1,19.861702128,20.338297872,,,94.206261604,1062:1,43203.0,118.1,847:1,,2285084.0,52.42527722,52.124821841,52.725732599,,249154.0,79.372998226,79.023167032,79.72282942,,172720.0,62.5,61.92884846,62.672152131,,74.4,,6267684.0,10525049.0,59.550164565,59.346535066,59.753794063,,2259948.0,18176237.0,12.4,,2012723.0,22.0,21.524848485,22.475151515,,57219.0,25.0,24.4,25.5,,2809662.0,9237416.0,30.416103378,30.135190274,30.697016482,,551194.0,499.85152561,,16.0,,51.0,,3341.0,9.0390952096,,1545621.0,4.56,,,,,,25843.0,48.940441246,,California,36961664.0,25.5,11.2,6.1,0.8,12.5,0.4,37.0,34092225.0,6768923.0,19.854741074,49.9,5.6,7.6508008703,,,,,19736.0,54.0,1853:1,8975.33,5616753.0,24.4,24.161702128,24.638297872,68800.0,14.9,,63.15417702,1583:1,57664.0,57250.618182,58077.381818,5830791.0,12392852.0,47.0496299,52.1,23.1,20.3,26.2,6.844,6.742,6.946,11870741.0,16271905.0,72.952374046,1269.0,1601.0,79.3
6001.0,California,Alameda,,12212.0,5689.66,5556.733,5822.587,-0.701891099,2964.0,15.1,13.3,17.1,-0.410654204,2941.0,3.1,2.7,3.4,-0.923403092,2945.0,3.4,3.0,3.7,-0.355414149,,10518.0,148737.0,7.1,6.9,7.2,1.0620814297,2890.0,11.9,10.3,13.9,-0.55707292,20.3,18.4,22.3,-1.192346012,16.5,15.0,18.1,-0.648043464,2826.0,18.8,16.7,21.0,0.2862424549,,844.0,8.2474420226,7.6910202451,8.8038638002,-1.277067152,6778.0,459.7,1.3177276964,9253.0,323873.0,28.6,28.0,29.2,-0.651063672,192959.0,14.6,13.885106383,15.314893617,-1.212057877,1869,127.11466709,787:1,2183.0,148.5,674:1,-0.843790287,77196.0,48.734498684,47.202405064,50.266592304,-0.220243913,8256.0,75.641957364,73.765871944,77.518042785,1.2529084508,5365.0,62.516309413,60.644087271,64.892683864,0.3666299578,74.7,0.186498012,312194.0,455300.0,68.5688557,,,-1.18142597,85521.0,755529.0,11.3,-0.722497528,57722.0,17.2,14.943030303,19.456969697,-0.740241587,2500.0,26.0,23.5,28.7,0.777133672,99800.0,335912.0,29.710162185,28.742376093,30.677948277,-0.192853533,36504.0,833.82367453,2.431201616,6.0,-0.255132071,10.0,-0.476129723,146.0,9.7889213547,0.1462228083,18328.0,1.29,-1.089035261,,,,,1072.0,45.136842105,-0.074492054,California,1491482.0,23.1,10.9,13.2,0.7,25.4,0.8,21.9,1380045.0,264131.0,19.139303429,50.5,0.6,7.2,6.4,8.1,1491482.0,381.58,1372.0,93.3,1072:1,8631.85,171539.0,17.6,16.646808511,18.553191489,2966.0,12.3,1167.0,80.16679089,1247:1,66937.0,65241.89697,68632.10303,244028.0,532026.0,45.867683158,31.6,18.5,11.9,28.3,10.006,9.393,10.619,461339.0,695938.0,66.290244246,45.0,49.0,91.8
6003.0,California,Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,19.0,32.5,,19.9,14.1,26.7,,,,,,,x,,,,,,2.0,188.5,,,,,,,,150.0,16.8,14.774468085,18.825531915,,,,,,,,,,,,,,12.0,91.666666667,37.495128424,100.0,,,,,,,33.3,,173.0,237.0,72.995780591,6.514658387,100.0,,69.0,440.0,15.7,,77.0,29.2,20.528484848,37.871515152,,,,,,,161.0,307.0,52.442996743,25.678904019,79.207089467,,42.0,1256.356566,,0.0,,0.0,,0.0,0.0,,270.0,21.6,,,,,,2.0,100.0,,California,1041.0,21.1,13.8,0.7,24.6,0.4,0.1,11.9,1065.0,29.0,2.7230046948,46.7,100.0,9.4,7.1,12.3,,,0.0,0.0,1057:0,20259.83,125.0,18.6,16.09787234,21.10212766,,,0.0,0.0,1274:0,44241.0,39165.193939,49316.806061,132.0,410.0,32.195121951,0.0,8.2,3.8,15.2,,,,273.0,503.0,54.274353877,0.0,1.0,0.0
6005.0,California,Amador,,494.0,6915.98,5973.494,7858.466,0.0389363681,133.0,17.5,11.3,26.0,0.0042335485,132.0,4.2,2.7,5.7,0.4227628616,133.0,4.1,2.6,5.7,0.3120709599,,94.0,1964.0,4.8,3.8,5.7,-1.892477709,,,,,0.0,24.7,19.6,30.3,0.010741856,17.7,13.4,22.9,-0.249976547,131.0,15.2,7.8,27.7,-0.872134505,,67.0,25.178977433,19.149818135,31.20813673,0.8912662357,84.0,219.7,-0.462842182,184.0,7007.0,26.3,22.5,30.1,-0.804535489,4739.0,15.9,14.231914894,17.568085106,-0.843632769,22,57.925223802,1726:1,32.0,84.3,1187:1,0.5667904066,5561.0,45.80093444,40.089016844,51.512852036,-0.438351357,490.0,82.653061224,74.603216505,90.702905943,-0.674850704,435.0,70.804597701,62.440858837,78.141261974,-1.218664118,87.9,-1.36248323,4243.0,8474.0,50.070804815,43.93516948,56.206440149,0.6388514712,2336.0,17472.0,13.4,-0.169335358,1039.0,17.0,12.248484848,21.751515152,-0.768840089,118.0,13.0,7.6,21.5,-1.873898478,1458.0,6418.0,22.717357432,15.704014839,29.730700026,-1.487857605,388.0,332.71877546,-0.587974838,3.0,-0.526411742,18.0,-0.222797044,5.0,13.200971592,-0.518698363,16.0,0.05,-1.299536607,,,,,17.0,29.310344828,-1.887878866,California,37876.0,16.8,19.5,4.0,1.9,1.6,0.1,11.0,37022.0,940.0,2.5390308465,45.5,62.2,9.9,7.5,12.9,37876.0,97.755,24.0,63.2,1583:1,7447.32,4210.0,17.9,15.874468085,19.925531915,133.0,12.4,18.0,46.444421509,2153:1,49516.0,45126.787879,53905.212121,6096.0,14715.0,41.427115189,20.7,9.6,4.7,17.2,,,,11359.0,13802.0,82.299666715,5.0,8.0,62.5
6007.0,California,Butte,,2768.0,8636.58,8198.246,9074.914,1.0783614284,734.0,14.2,11.2,17.8,-0.566237112,729.0,4.3,3.5,5.1,0.5451415846,729.0,4.3,3.4,5.2,0.502780991,,1012.0,17121.0,5.9,5.6,6.3,-0.479427686,720.0,20.9,16.8,25.6,1.5713660681,24.8,21.3,28.3,0.0380847621,16.7,14.0,19.7,-0.581698978,708.0,16.9,13.2,21.5,-0.325123163,,301.0,20.035104698,17.771688395,22.298521002,0.2325172962,721.0,327.2,0.3347047426,1872.0,59038.0,31.7,30.3,33.1,-0.444210353,32858.0,17.9,16.470212766,19.329787234,-0.27682491,166,75.625390086,1322:1,226.0,103.0,971:1,0.1559203292,29736.0,65.422673953,62.532181666,68.313166241,1.0205045216,3099.0,80.348499516,77.192520051,83.504478981,-0.041193006,2313.0,65.629053178,61.89545751,68.452761017,-0.228741979,79.6,-0.3885026,31661.0,48898.0,64.749069492,61.910692891,67.587446092,-0.80554471,14587.0,104580.0,13.9,-0.03763008,11339.0,25.1,19.754545455,30.445454545,0.3893992479,641.0,19.3,15.3,24.1,-0.589167513,16246.0,45944.0,35.360438795,32.243911553,38.476966037,0.8535264926,2745.0,417.74908575,-0.075663921,7.0,-0.164705514,33.0,0.25220173,17.0,7.7070592129,0.5519244003,28096.0,14.23,1.1076481397,,,,,150.0,55.147058824,1.0724701998,California,220577.0,20.9,15.0,1.8,2.2,4.4,0.2,13.3,206404.0,12608.0,6.1084087518,50.8,18.1,8.8,7.2,10.5,220577.0,108.92,62.0,28.2,3540:1,8112.2,28981.0,21.0,19.093617021,22.906382979,734.0,15.7,129.0,59.318799461,1686:1,41168.0,38862.327273,43473.672727,37724.0,85465.0,44.139706313,44.4,11.1,5.3,19.8,3.727,2.751,4.703,65667.0,87034.0,75.449824207,13.0,16.0,81.3
6009.0,California,Calaveras,,610.0,6266.56,5479.973,7053.147,-0.353382255,155.0,14.2,8.4,23.0,-0.566237112,155.0,4.1,2.3,5.9,0.3003841385,153.0,2.9,1.7,4.2,-0.832189226,,158.0,2516.0,6.3,5.3,7.2,0.0344086856,,,,,0.0,26.1,20.9,32.0,0.3935425412,20.9,16.2,26.6,0.811535234,151.0,23.3,15.1,34.3,1.7342136551,,101.0,31.392782768,25.270333442,37.515232094,1.6870358602,44.0,93.9,-1.39615756,243.0,10603.0,22.9,20.0,25.8,-1.031406871,5826.0,15.7,14.15106383,17.24893617,-0.900313554,20,42.603953647,2347:1,31.0,66.0,1514:1,0.9688718192,7364.0,48.237351303,42.952113471,53.522589135,-0.257206303,608.0,84.046052632,76.758814826,91.333290437,-1.057864847,683.0,68.374816984,61.74911025,74.067393232,-0.753921961,89.2,-1.515034412,5280.0,8436.0,62.588904694,55.455764755,69.722044633,-0.592976409,3130.0,20087.0,15.6,0.4101678677,1573.0,18.3,12.954545455,23.645454545,-0.582949825,130.0,17.1,10.5,26.7,-1.037803723,2440.0,9178.0,26.585312704,18.461267622,34.709357787,-0.771547339,245.0,170.96641382,-1.562539091,1.0,-0.707264856,35.0,0.3155348998,7.0,14.979349896,-0.86525873,16.0,0.04,-1.301234199,,,,,24.0,36.363636364,-1.079718625,California,46731.0,19.1,19.1,1.3,1.7,1.6,0.1,10.4,44089.0,762.0,1.7283222573,50.3,82.0,8.8,6.6,11.2,46731.0,34.114,10.0,21.3,4694:1,6610.61,5076.0,17.9,15.993617021,19.806382979,,,17.0,36.74245699,2722:1,50745.0,46513.775758,54976.224242,7679.0,18794.0,40.858784719,25.7,8.6,4.2,15.5,,,,14220.0,18711.0,75.998075998,7.0,12.0,58.3
6011.0,California,Colusa,,185.0,6407.8,5269.373,7546.227,-0.268058301,,,,,0.0,55.0,3.8,2.0,5.5,-0.066752031,54.0,1.7,0.7,2.8,-1.976449413,,121.0,2505.0,4.8,4.0,5.7,-1.892477709,,,,,0.0,24.5,18.6,31.1,-0.043943956,17.5,12.3,23.3,-0.316321033,,,,,0.0,,33.0,22.884564708,15.076529599,30.692599816,0.5974327706,23.0,108.5,-1.287839559,285.0,5857.0,48.7,43.0,54.3,0.6901465569,4440.0,24.2,21.936170213,26.463829787,1.5086198459,7,33.089104231,3022:1,12.0,56.7,1763:1,1.1732082748,2104.0,86.757461874,73.939865973,99.575057776,2.6067237632,298.0,83.55704698,73.178430093,93.935663867,-0.923408827,177.0,65.536723164,53.210900179,76.886147058,-0.211082093,70.3,0.7028250926,2195.0,5511.0,39.829432045,33.729920042,45.928944048,1.6466408828,2431.0,11928.0,20.4,1.6745385425,1453.0,22.9,17.198181818,28.601818182,0.0748157244,,,,,0.0,2040.0,6090.0,33.497536946,24.203221462,42.791852429,0.5085339517,167.0,259.22821396,-1.030758322,2.0,-0.616838299,1.0,-0.761128988,0.0,0.0,2.0538327782,2403.0,13.03,0.9039371597,,,,,12.0,48.0,0.2535661814,California,21321.0,30.7,12.0,1.3,2.7,1.8,0.5,53.0,19350.0,4888.0,25.260981912,49.1,48.9,7.9,5.9,10.6,,,2.0,9.5,10578:1,7256.82,3618.0,30.2,27.221276596,33.178723404,,,3.0,14.234875445,7025:1,44981.0,40405.290909,49556.709091,2573.0,6972.0,36.904761905,54.3,33.8,19.5,50.7,,,,6057.0,8383.0,72.253369915,5.0,5.0,100.0
6013.0,California,Contra Costa,,8373.0,5364.52,5207.72,5521.32,-0.898310176,2342.0,14.9,12.7,17.3,-0.445228184,2330.0,3.4,2.9,3.8,-0.556266923,2332.0,3.6,3.1,4.0,-0.164704118,,6161.0,93122.0,6.6,6.5,6.8,0.4197859646,2285.0,13.0,10.9,15.4,-0.296930377,24.4,22.3,26.5,-0.071286862,17.6,15.9,19.3,-0.28314879,2240.0,18.6,16.3,21.1,0.2218881793,,663.0,9.3458115188,8.6344074818,10.057215556,-1.136404703,3388.0,329.0,0.3480590167,6009.0,244788.0,24.5,23.9,25.2,-0.924643868,121700.0,13.5,12.665957447,14.334042553,-1.523802199,1069,104.24549277,959:1,1323.0,129.0,775:1,-0.41534288,60067.0,50.683594697,48.881284267,52.485905126,-0.075330657,5298.0,79.407323518,77.007770371,81.806876665,0.217590872,4226.0,67.889256981,65.411924783,70.380909373,-0.661049299,81.4,-0.599727315,186600.0,277110.0,67.337880264,66.137620245,68.538140284,-1.06029338,58685.0,522374.0,11.2,-0.748838584,32851.0,12.7,10.799393939,14.600606061,-1.383707885,1994.0,21.1,18.6,23.8,-0.222101523,67648.0,257076.0,26.314397299,25.051793901,27.577000697,-0.821718418,13808.0,447.57710965,0.1040510804,6.0,-0.255132071,14.0,-0.349463384,128.0,12.292633831,-0.341686606,39501.0,4.21,-0.593338543,,,,,608.0,47.68627451,0.2176197773,California,1041274.0,24.9,12.2,9.7,0.8,14.1,0.5,23.2,957950.0,129593.0,13.52815909,50.7,2.1,7.4,6.5,8.4,1041274.0,197.49,607.0,59.2,1689:1,8733.0,104286.0,16.2,15.127659574,17.272340426,2344.0,9.8,769.0,76.202593861,1312:1,73678.0,71539.818182,75816.181818,173020.0,368087.0,47.005191707,26.6,12.3,7.1,20.3,8.683,7.997,9.369,327711.0,468171.0,69.998141705,36.0,37.0,97.3
6015.0,California,Del Norte,,409.0,10312.26,8982.243,11642.277,2.09065004,,,,,0.0,94.0,6.6,3.0,10.2,3.3598522155,93.0,5.5,2.2,8.8,1.6470411773,,118.0,2235.0,5.3,4.4,6.2,-1.250182244,,,,,0.0,27.4,21.3,34.1,0.7490003204,18.4,13.5,24.0,-0.017770845,91.0,10.3,4.2,23.2,-2.448814257,,60.0,30.08031444,22.468944724,37.691684155,1.51895489,47.0,161.5,-0.894630378,332.0,6643.0,50.0,44.6,55.4,0.776891497,5741.0,23.3,21.036170213,25.563829787,1.2535563094,22,76.195753818,1312:1,30.0,103.9,962:1,0.1361458335,3287.0,50.305466583,42.385827254,58.225105912,-0.103444088,418.0,84.449760766,75.639938592,93.259582939,-1.168867631,261.0,66.666666667,56.338026356,76.002073419,-0.427205457,71.1,0.6089474416,3707.0,7595.0,48.808426596,42.38842452,55.228428673,0.7630742127,1559.0,11695.0,13.3,-0.195676414,1830.0,30.6,22.403636364,38.796363636,1.1758580568,,,,,0.0,2701.0,6254.0,43.18835945,34.869527436,51.507191464,2.3031864615,308.0,353.45421161,-0.463043031,5.0,-0.345558628,0.0,-0.792795573,1.0,3.4347736484,1.3844833965,881.0,3.72,-0.676520527,,,,,16.0,45.714285714,-0.008329048,California,29114.0,21.9,13.4,4.5,7.2,2.8,0.1,16.7,26767.0,1171.0,4.3747898532,45.1,31.6,8.0,6.0,10.5,29114.0,138.61,23.0,79.7,1255:1,7742.97,5063.0,27.5,24.640425532,30.359574468,,,11.0,38.711947915,2583:1,35438.0,31811.406061,39064.593939,3993.0,9906.0,40.308903695,49.0,14.5,7.2,25.2,,,,6511.0,9089.0,71.636043569,2.0,4.0,50.0
6017.0,California,El Dorado,,1625.0,5409.12,5035.25,5782.99,-0.871367041,576.0,10.0,7.3,13.5,-1.292290679,576.0,2.6,1.9,3.2,-1.535296708,573.0,2.8,2.2,3.5,-0.927544242,,845.0,13082.0,6.5,6.0,6.9,0.2913268716,560.0,13.8,10.4,18.1,-0.107735801,21.0,17.5,24.6,-1.000945669,14.6,11.8,17.5,-1.278316084,553.0,19.0,14.3,24.7,0.3505967304,,171.0,14.084205428,11.973195057,16.1952158,-0.52958332,240.0,136.3,-1.081590215,856.0,43446.0,19.7,18.4,21.0,-1.244932877,19807.0,12.8,11.727659574,13.872340426,-1.72218495,142,80.22190962,1247:1,204.0,115.2,868:1,-0.112133946,16716.0,40.293418902,37.154440444,43.43239736,-0.847829396,1325.0,85.433962264,80.457010788,90.41091374,-1.439481715,1387.0,71.881759193,66.950784143,75.812656673,-1.42469191,84.0,-0.904829681,27648.0,40973.0,67.478583457,64.332204027,70.624962888,-1.074139101,11459.0,90822.0,12.6,-0.380063804,4717.0,11.6,8.6303030303,14.56969697,-1.540999647,506.0,15.3,11.1,20.7,-1.404869713,9898.0,41690.0,23.741904533,20.742671635,26.741137432,-1.298120766,1442.0,269.59872417,-0.968275596,4.0,-0.435985185,61.0,1.138866108,17.0,9.5266381615,0.1973350827,20566.0,13.3,0.9497721302,,,,,110.0,40.441176471,-0.612517492,California,178447.0,23.4,12.2,1.3,1.1,3.6,0.2,12.1,169191.0,7219.0,4.2667754195,49.8,36.8,7.5,6.0,9.4,178447.0,82.84,79.0,44.6,2241:1,7504.59,17005.0,15.1,13.670212766,16.529787234,576.0,12.7,137.0,77.098832825,1297:1,65201.0,61118.260606,69283.739394,30180.0,68394.0,44.126677779,17.3,7.2,3.4,13.1,2.718,1.791,3.645,62194.0,81721.0,76.105285055,10.0,19.0,52.6
6019.0,California,Fresno,,8384.0,7379.5,7188.733,7570.267,0.3189516557,1801.0,20.4,18.0,23.2,0.5055562498,1790.0,4.0,3.5,4.5,0.1780054154,1787.0,3.5,3.1,4.0,-0.260059133,,8076.0,112886.0,7.2,7.0,7.3,1.1905405227,1746.0,14.2,12.0,16.8,-0.013138512,29.4,26.5,32.4,1.2958584423,20.8,18.4,23.3,0.7783629909,1708.0,17.5,14.7,20.7,-0.132060336,,1219.0,19.887202528,18.770781739,21.003623317,0.2135762371,5416.0,595.7,2.3267172942,15360.0,251014.0,61.2,60.2,62.2,1.5242325199,175794.0,21.7,20.627659574,22.772340426,0.8001100223,728,80.608282501,1241:1,956.0,105.9,945:1,0.0922025097,56772.0,58.294003981,56.293199929,60.294808033,0.4904953404,7658.0,80.530164534,78.52024957,82.540079498,-0.091143257,4295.0,64.284051222,61.642522069,66.419385609,0.0285154375,66.9,1.1018051094,123286.0,244512.0,50.421247219,49.257673143,51.584821295,0.604366627,73601.0,438606.0,16.8,0.7262605364,104798.0,38.2,35.467878788,40.932121212,2.2626011381,1511.0,28.1,24.8,31.7,1.205377327,99017.0,272202.0,36.376294076,34.880332813,37.872255338,1.0416536849,13495.0,495.24371532,0.3912442285,38.0,2.6385177516,74.0,1.5505317121,50.0,5.462886786,0.9892561083,81084.0,10.38,0.4540754121,,,,,563.0,53.670162059,0.9032486046,California,915267.0,30.1,9.8,5.8,2.0,9.0,0.2,49.3,831261.0,157195.0,18.910426448,49.5,12.6,9.0,7.7,10.3,915267.0,156.48,303.0,33.5,2981:1,7924.54,152925.0,28.4,26.970212766,29.829787234,1802.0,16.0,448.0,50.003739119,2000:1,44869.0,43505.315152,46232.684848,124256.0,283836.0,43.777392579,56.2,26.9,15.0,42.2,8.173,7.458,8.888,268355.0,351673.0,76.308104404,42.0,50.0,84.0
6021.0,California,Glenn,,300.0,7931.66,6774.711,9088.609,0.6525149135,,,,,0.0,99.0,3.6,1.1,6.2,-0.311509477,100.0,4.2,2.2,6.2,0.4074259754,,139.0,3031.0,4.6,3.8,5.3,-2.149395895,97.0,13.9,7.0,25.7,-0.084086479,27.1,21.3,33.6,0.6669716022,18.9,14.1,24.6,0.1480903712,,,,,0.0,,45.0,23.251608236,16.457963827,30.045252646,0.64443812,38.0,134.6,-1.094202585,381.0,7814.0,48.8,43.9,53.7,0.6968192446,5856.0,24.2,21.936170213,26.463829787,1.5086198459,3,10.665908202,9376:1,5.0,17.8,5625:1,2.0279059225,3683.0,62.221703204,53.980779206,70.462627202,0.7825156832,438.0,75.799086758,67.645456705,83.952716811,1.2097044656,278.0,64.748201439,54.877288486,73.654463094,-0.060262192,80.5,-0.494114958,3443.0,6833.0,50.387823796,43.705223386,57.070424206,0.6076556169,2069.0,12727.0,16.3,0.5945552578,1992.0,25.6,18.591515152,32.608484848,0.4608955033,,,,,0.0,2461.0,7952.0,30.948189135,23.597097454,38.299280816,0.0364178392,186.0,219.8269749,-1.268152316,4.0,-0.435985185,0.0,-0.792795573,3.0,10.60108131,-0.012046359,614.0,2.36,-0.907392971,,,,,15.0,46.875,0.124664623,California,28299.0,28.9,12.5,0.9,2.3,3.6,0.2,36.3,25708.0,3663.0,14.248482963,49.4,43.4,7.8,5.9,10.2,28299.0,58.163,1.0,3.6,28127:1,7885.32,4885.0,30.0,27.140425532,32.859574468,,,7.0,25.202520252,3968:1,40859.0,36400.890909,45317.109091,3855.0,9660.0,39.906832298,55.2,21.9,11.7,35.6,,,,8386.0,11271.0,74.403335995,2.0,5.0,40.0
6023.0,California,Humboldt,,1801.0,9350.47,8767.429,9933.511,1.5096267756,535.0,14.0,10.4,18.5,-0.600811091,534.0,4.4,3.6,5.3,0.6675203077,530.0,4.3,3.3,5.3,0.502780991,,655.0,10816.0,6.1,5.6,6.5,-0.2225095,527.0,20.7,16.1,26.1,1.5240674239,26.2,22.5,30.0,0.4208854473,19.2,16.0,22.9,0.2476071006,522.0,19.3,15.0,24.4,0.4471281438,,195.0,21.710739468,18.66345231,24.758026626,0.4471070974,355.0,275.2,-0.051085398,1019.0,32760.0,31.1,29.2,33.0,-0.484246479,22409.0,20.2,18.412765957,21.987234043,0.3750041281,110,85.369260857,1171:1,161.0,124.9,800:1,-0.325259066,15786.0,43.457195241,40.131627147,46.782763335,-0.612605923,1516.0,79.419525066,74.93341305,83.905637082,0.2142359588,1335.0,71.011235955,66.012526171,74.988336625,-1.258187647,80.3,-0.470645545,22496.0,33891.0,66.377504352,63.081493597,69.673515107,-0.965788796,6972.0,60854.0,11.5,-0.669815417,5820.0,22.0,16.416969697,27.583030303,-0.053877535,461.0,17.6,13.5,22.6,-0.935840948,10309.0,26673.0,38.649570727,34.564803008,42.734338446,1.4626439203,1483.0,385.18079862,-0.271889114,4.0,-0.435985185,0.0,-0.792795573,14.0,10.800552371,-0.050918158,2685.0,2.18,-0.937949618,,,,,85.0,38.636363636,-0.819311436,California,129623.0,20.2,13.0,1.2,6.5,2.1,0.3,8.9,125539.0,4255.0,3.389384972,50.4,30.3,8.6,6.9,10.6,129623.0,142.4,43.0,33.4,2997:1,7080.16,20159.0,23.8,21.536170213,26.063829787,535.0,18.8,83.0,62.878311528,1590:1,38254.0,35966.145455,40541.854545,23672.0,54276.0,43.614120422,41.2,9.4,4.3,17.4,5.456,3.929,6.983,42206.0,58829.0,71.743527852,12.0,29.0,41.4
6025.0,California,Imperial,,1365.0,6568.06,6148.855,6987.265,-0.171244247,364.0,30.9,25.3,37.1,2.3206901681,360.0,4.8,3.7,5.9,1.1570352001,361.0,3.8,2.8,4.9,0.0260059133,,1276.0,21000.0,6.1,5.8,6.4,-0.2225095,356.0,11.2,7.6,16.2,-0.722618175,24.6,19.8,30.1,-0.01660105,22.6,17.9,28.1,1.3754633675,343.0,14.4,9.8,20.7,-1.129551608,,219.0,20.093752495,17.432444966,22.755060023,0.2400280135,693.0,422.6,1.0424812693,3066.0,46160.0,66.4,64.1,68.8,1.8712122806,35351.0,24.3,22.393617021,26.206382979,1.5369602389,55,33.723090507,2965:1,68.0,41.7,2398:1,1.5027832032,16318.0,57.110203407,53.306463331,60.913943484,0.4024810017,2776.0,83.573487032,80.172690868,86.974283195,-0.92792915,1243.0,54.465004023,50.049416535,58.204031811,1.9065965101,78.9,-0.306359656,21177.0,45783.0,46.255160212,43.80557662,48.704743804,1.0143251811,22860.0,77099.0,29.7,4.1242567248,16157.0,31.8,26.098181818,37.501818182,1.3474490696,300.0,24.2,18.3,31.4,0.410067682,17413.0,49280.0,35.334821429,32.286935562,38.382707295,0.8487823885,1609.0,327.41383766,-0.619937294,5.0,-0.345558628,33.0,0.25220173,8.0,4.7940362189,1.1195979472,18818.0,14.3,1.1195312802,,,,,83.0,47.159090909,0.1572155216,California,166874.0,30.8,10.5,4.2,2.1,2.6,0.2,77.3,154538.0,50035.0,32.377149957,48.2,14.5,7.2,5.6,9.1,166874.0,143.92,13.0,8.0,12546:1,7491.58,29727.0,31.1,28.59787234,33.60212766,364.0,22.1,33.0,20.049089893,4988:1,39261.0,36256.854545,42265.145455,20800.0,47304.0,43.970911551,58.6,41.5,25.2,59.5,4.037,2.843,5.231,43903.0,55565.0,79.011967965,10.0,10.0,100.0
