FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
26001,Michigan,Alcona,77.205961979,4.662891554,5.5817124136,,58.136394328,25.5,,28.2,38.665216232,6.0,95.19277,45573,88.172043011,98.921586547,0.552118039,0.4188481675,1.8372203713,95.240361733,8580,,,,18.532818533,28.86002886,43.333333333,10.878243513,0.0794044665,7.1,23.1,
26003,Michigan,Alger,80.06694916,4.4807786364,5.2905099892,84.89010989,42.614513639,16.3,,27.2,39.478353833,7.0,66.55574,51126,80.437461491,69.044891157,7.0438158625,0.465890183,1.8524681087,83.383250139,7008,,,,14.925373134,,38.333333333,10.823909532,0.2382302893,6.1,22.4,
26005,Michigan,Allegan,78.200851061,4.1793260729,5.1127498789,83.409310345,58.663950247,8.4,,28.0,37.422383272,26.0,95.01626999999999,63732,84.437817288,64.467542726,1.3167741556,0.8929847722,7.6727740547,87.985066469,79738,13.86839993,11.853189778,,17.347575238,9.0392782222,21.465517241,10.755813953,0.9464267839,7.6,19.2,10.137169622
26007,Michigan,Alpena,77.816553271,4.5303334979,5.4924433984,82.0,67.428666778,19.7,,27.2,39.724021687,18.0,378.92202,40442,78.43214034,51.827826204,0.5736950209,0.5559883844,1.5263120618,95.307741341,21150,8.5017003401,,,22.74008645,9.1440468738,42.727272727,10.420762878,0.3432494279,7.2,22.2,6.3141278611
26009,Michigan,Antrim,80.3613445,4.1713140295,5.1762687576,84.765306122,62.397688974,19.7,,25.3,36.847411029,14.0,42.64574,58738,87.645091481,100.0,0.3027847669,0.3710179539,2.3241929293,94.464582711,17555,17.791956808,15.683367076,,18.471484646,11.151714791,11.666666667,12.289648139,0.1482146867,6.9,20.5,
26011,Michigan,Arenac,77.369449975,4.8565049679,5.7339474037,90.34375,55.162044771,21.3,,28.9,38.823924426,5.0,207.31626,50286,84.844343204,100.0,0.4681334849,0.3343810607,2.1935397579,94.007891393,11360,15.143197865,,,23.393984404,17.323170407,32.727272727,10.994764398,0.3839173531,7.4,24.1,8.2508250825
26013,Michigan,Baraga,76.422924083,4.8362842317,5.5516848442,85.394736842,45.801526718,16.1,,28.7,41.509375084,8.0,159.23567,48846,78.60727729,100.0,8.0107790299,0.3797158256,1.7515923567,72.133757962,6201,,,,19.169329073,,8.3333333333,14.991762768,0.1125703565,5.5,24.3,
26015,Michigan,Barry,79.17148556,4.0680416548,5.123277622,85.198153409,59.828632631,9.3,,24.7,36.851312521,21.0,122.46016,68693,83.970092844,77.128082064,0.6316366156,0.5140104091,3.1839641643,93.653018804,42845,17.231164331,14.071700727,,16.33961976,12.128920592,18.035714286,10.52852349,0.4417343704,8.9,18.8,7.9124579125
26017,Michigan,Bay,76.364765934,4.4729964105,5.3827978807,83.770868825,65.991346193,16.4,,27.1,39.154292475,40.0,277.37896,55860,76.070540256,30.311493816,1.7218982879,0.5928487015,5.6852920781,89.572894996,74845,10.133377153,30.054680128,,18.645489074,10.030438523,25.454545455,11.323763955,0.1290204604,7.1,21.3,7.0067609096
26019,Michigan,Benzie,78.242583434,4.0423422448,5.0705656643,78.611111111,69.413092551,12.7,,24.0,36.617561392,10.0,145.64194,64526,90.922190202,100.0,0.6609903652,0.5321532601,2.3862872507,93.586152812,13380,14.57584297,,,19.182389937,13.556871074,30.769230769,12.100965108,0.0118413262,6.7,18.7,
26021,Michigan,Berrien,77.539343689,4.4113310301,5.2165788103,63.722265023,66.298202683,22.1,,25.3,41.924107933,121.0,252.24636,56346,71.2446148,32.856969767,14.286554485,2.1382127103,5.9101454011,74.609377553,107820,11.495265156,16.718523038,,26.121000795,14.177275778,50.07518797,14.26224378,0.9791280244,9.2,20.0,6.3079777365
26023,Michigan,Branch,76.437529058,4.6839854956,5.4984606611,85.162593985,51.797498276,18.6,,29.7,39.271514606,19.0,154.29256,51757,75.825556353,62.703323904,2.1693072955,0.7438282977,5.386422255,89.726879145,30093,17.071064873,12.254620375,,27.870680045,11.959521619,55.12195122,10.784610724,2.1576030991,8.8,23.1,11.360448808
26025,Michigan,Calhoun,75.24235858,4.5049472121,5.3340811189,80.85045045,57.006587124,21.5,,29.0,39.474314946,81.0,361.58108,52310,69.536619614,30.977039355,10.671507711,2.8492289265,5.6632729451,76.822129061,91280,13.724397084,36.79523452,,26.955251627,15.65435191,44.710743802,13.930301901,0.9994354819,8.9,21.0,5.4960345067
