FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
39001,Ohio,Adams,73.213776462,4.9353430879,4.8304854926,92.222222222,41.304347826,29.1,4.0487522603,36.6,39.174483602,12,144.27932,42154,69.201661283,89.026269702,0.4616938393,0.3606983119,1.0352041552,96.23070264,6302,21.942693848,46.786712574,,40.03164557,15.052684395,30.9375,16.169039963,99.9312767257,10.4,24.282192025,
39003,Ohio,Allen,76.53565192,4.1210242882,4.4009440274,84.931506849,61.946189786,18.7,4.6435344998,27.5,37.551160901,68,216.24149,50301,66.487406567,25.890850269,12.357908886,0.7880151564,3.1637493547,80.70775255,24828,9.3213636058,28.423497188,,30.485990051,9.2473433153,28.545454545,13.636363636,99.602085197,12.2,20.184418116,5.8793280768
39005,Ohio,Ashland,77.805639776,4.0933872204,4.4656535215,94.059405941,54.267760517,12.6,1.3640488316,32.6,36.217391333,26,221.41595,54362,72.087675522,61.937559984,0.7982137873,0.7275095358,1.4792073681,95.469345986,11458,15.538017242,18.630647415,,20.628122769,4.863940615,40.0,13.683178028,98.9566597243,11.3,18.837776161,6.6358915176
39007,Ohio,Ashtabula,75.317702646,4.1774237787,4.5658681391,87.985212569,46.421879183,24.0,10.413622589,33.7,39.881392618,35,151.80577,46950,70.067991076,46.368858193,3.4946098694,0.5118316187,4.3223616054,89.323336034,22414,16.051178677,40.881542324,,32.544378698,13.432708238,48.155339806,14.896907216,99.4689692391,11.0,21.275717753,13.889472578
39009,Ohio,Athens,77.952990737,4.66321172,4.9160919831,91.821561338,65.829694323,26.8,14.332842322,26.7,38.464569748,50,521.13404,40416,56.136162688,43.170622481,2.7788750798,3.5643744872,1.9432374123,89.309915221,14656,10.476117725,13.595097708,,8.8040391291,8.8092345079,34.0,21.607702642,99.5497345804,10.5,20.031609366,
39011,Ohio,Auglaize,79.206959102,3.7267423405,4.2688880967,96.975088968,64.713350913,8.2,1.9010360719,31.1,34.453204148,18,48.03074,63754,76.499492603,39.136869138,0.5851017378,0.580735307,1.772770937,95.803859925,10239,10.593748442,,,23.529411765,8.2899564995,31.538461538,10.833790455,99.7597331405,12.4,17.454950225,
39013,Ohio,Belmont,76.731679487,3.8710473284,4.4618106363,89.489051095,57.839160005,17.7,4.6153858235,31.9,39.478301461,25,191.09696,48989,76.416030534,54.664772727,4.1952447967,0.4666321013,1.0058514184,92.633138286,16762,10.164625444,30.361349023,,30.527983985,14.876524844,43.833333333,8.6188243779,99.9339355949,11.2,17.49012387,6.5938069217
39015,Ohio,Brown,74.535789691,4.192441876,4.5784927778,93.598615917,53.138728888,18.4,3.7017713915,34.7,38.489245299,12,71.09766,55334,73.895835723,76.559782366,0.9082152195,0.3004449337,1.1375624971,96.26622632,10243,19.184683469,57.279455005,,32.178725149,16.446466751,45.0,11.880316808,99.8445281185,11.0,20.586497724,11.270207852
39017,Ohio,Butler,76.524876613,4.0032777891,4.1448305255,90.452380952,64.428219525,15.4,6.8764528695,24.1,38.074268417,206,227.52355000000003,61053,68.344595083,9.3428951729,8.5190570587,3.6856199886,4.8645581074,80.501754808,90122,9.1154552163,58.745185306,,19.021474602,10.893534212,41.07398568,13.641746854,98.8051074474,13.0,18.240214547,3.8699053108
39019,Ohio,Carroll,77.409991655,4.081286797,4.3942144265,91.25,47.613344739,17.3,2.3616593651,31.6,35.800685278,5,44.31151,50002,77.458206004,70.952975447,0.6351316421,0.4578856025,1.3515010524,96.011964108,5845,15.897843534,18.262616424,,24.189567221,10.135159593,16.428571429,11.039558418,99.7868209677,11.3,18.369949889,9.8336948662
39021,Ohio,Champaign,76.906090063,3.9361157079,4.2935832648,91.238095238,48.144806586,14.8,0.5804660608,34.4,35.916328989,8,108.37590999999999,57701,72.614899073,70.82325361,2.0410796305,0.4980131083,1.6488620529,93.327140424,8867,14.992174816,36.960314936,,27.176990148,11.827868515,82.093023256,10.224274406,99.7173605827,11.7,18.455168236,
39023,Ohio,Clark,73.845973307,4.4631448438,4.5252731709,87.561881188,56.597769029,21.7,10.806098043,30.5,37.112334711,61,147.11892,50089,64.983152718,23.605358085,8.7245978378,0.7333655311,3.51599361,84.030909834,30480,15.476714388,61.149511794,,35.925260049,15.670250621,87.730496454,13.926481346,99.1416511425,11.6,21.402774834,7.1781498765
39025,Ohio,Clermont,77.621987968,3.7752435066,4.1358422169,93.662986078,64.42191553,10.2,9.0795807865,26.6,38.59002578,134,100.7466,65280,74.268278462,22.71651728,1.5696027567,1.3194397127,2.0397535359,93.386253687,50503,9.6076544748,44.719945422,,22.657316763,9.4466338987,31.101321586,11.550475178,99.7474417364,12.0,18.540459648,6.7239060722
39027,Ohio,Clinton,75.599148316,4.0686799106,4.459034178,88.324873096,57.581133257,16.6,9.140399069,27.7,35.072773341,32,240.15027,53947,65.503970678,54.638439581,2.1328197446,0.5302327793,1.5431438286,93.454121787,9583,14.988877572,46.837292011,,31.149615497,6.6755674232,78.085106383,12.970451011,99.8220188152,11.3,19.509812043,
39029,Ohio,Columbiana,76.259465708,4.2297273505,4.4065278261,93.384467881,52.348014501,22.3,7.6600898523,31.3,39.816004638,44,102.27439000000001,44938,72.886701391,43.864578407,2.2812058637,0.346758876,1.9295767788,93.792431695,23999,13.928356358,40.720428405,,30.908109699,11.924934461,21.01010101,11.30923887,99.7981334956,11.5,20.965683909,7.1981586106
39031,Ohio,Coshocton,76.951298189,4.3251575372,4.5374551075,93.384223919,42.685707428,24.2,7.3309316537,33.3,38.629410815,13,73.71209,46420,73.31443192,61.469878865,1.1957738404,0.3576401212,1.0210488957,95.768380245,8333,15.210667748,16.397176042,,30.111768573,9.8435961938,32.25,11.04550191,99.372684037,11.3,21.983924544,8.0827067669
39033,Ohio,Crawford,75.443514748,4.2487544962,4.5366014149,94.214876033,55.906839498,20.4,9.9367513809,29.9,36.559231274,16,137.18412,44715,69.991551676,35.264023388,1.0012033694,0.5992779783,1.7833935018,95.160048135,9489,14.535768131,31.903269288,,35.955545871,8.0888825447,69.285714286,12.574341546,99.7575941217,11.4,19.966410292,7.2440944882
